business_date,fund_code,fund_product_id,product_type,price_above_year_line,weekly_macd_state,volume_state,current_nav
2026-09-03,011608,8713,INDEX,true,GREEN_EXPANDING,NORMAL,1.25340000
2026-09-03,012920,9883,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.66510000
2026-09-03,012922,9885,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.59070000
2026-09-03,013308,10208,ETF,false,RED_SHRINKING,,1.07730000
2026-09-03,013446,10333,ACTIVE,true,GREEN_EXPANDING,NORMAL,1.53970000
2026-09-03,014978,11628,ETF,true,GREEN_EXPANDING,,7.91500000
2026-09-03,015879,12383,ETF,false,RED_EXPANDING,,0.77030000
2026-09-03,016664,13060,ACTIVE,true,GREEN_SHRINKING,NORMAL,2.72640000
2026-09-03,016707,13096,ETF,false,RED_SHRINKING,NORMAL,1.78300000
2026-09-03,016708,13097,ETF,false,RED_SHRINKING,NORMAL,1.76260000
2026-09-03,017093,13421,ETF,true,GREEN_EXPANDING,,2.79730000
2026-09-03,017189,13506,INDEX_ENHANCED,true,GREEN_EXPANDING,,1.79680000
2026-09-03,017730,14005,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.98400000
2026-09-03,019172,15299,INDEX,true,GREEN_EXPANDING,,1.72940000
2026-09-03,019736,15828,INDEX,true,GREEN_EXPANDING,,1.47050000
2026-09-03,020608,16637,ETF,false,GREEN_SHRINKING,NORMAL,1.33730000
2026-09-03,021972,17940,ETF,false,RED_EXPANDING,,1.21750000
2026-09-03,025732,21520,ETF,,GREEN_SHRINKING,,0.89880000
2026-09-03,026265,22033,ETF,,,,0.82480000
2026-09-03,027521,23185,ETF,,,,0.92680000
2026-09-03,110026,23860,ETF,false,GREEN_EXPANDING,NORMAL,3.40800000
2026-09-03,270042,25374,ETF,true,GREEN_EXPANDING,,8.31830000
2026-09-04,003765,2583,ETF,false,GREEN_EXPANDING,NORMAL,1.79840000
2026-09-04,006479,4420,ETF,true,GREEN_EXPANDING,,7.92720000
2026-09-04,007301,5128,ETF,true,GREEN_EXPANDING,NORMAL,3.81990000
2026-09-04,008087,5778,ETF,true,GREEN_EXPANDING,NORMAL,2.82630000
2026-09-04,008163,5838,ETF,true,RED_EXPANDING,,1.75220000
2026-09-04,008585,6170,ETF,true,GREEN_EXPANDING,NORMAL,1.59340000
2026-09-04,008888,6416,ETF,true,GREEN_EXPANDING,NORMAL,1.90630000
2026-09-04,010736,7967,INDEX_ENHANCED,true,GREEN_EXPANDING,NORMAL,1.24870000
2026-09-04,011608,8713,INDEX,true,GREEN_EXPANDING,NORMAL,1.24880000
2026-09-04,012920,9883,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.63100000
2026-09-04,012922,9885,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.55720000
2026-09-04,013308,10208,ETF,false,RED_SHRINKING,,1.06590000
2026-09-04,013446,10333,ACTIVE,true,GREEN_EXPANDING,NORMAL,1.52960000
2026-09-04,014978,11628,ETF,true,GREEN_EXPANDING,,7.93400000
2026-09-04,015879,12383,ETF,false,RED_EXPANDING,,0.76860000
2026-09-04,016664,13060,ACTIVE,true,GREEN_EXPANDING,NORMAL,2.68500000
2026-09-04,016707,13096,ETF,true,RED_EXPANDING,NORMAL,1.80490000
2026-09-04,016708,13097,ETF,true,RED_EXPANDING,NORMAL,1.78430000
2026-09-04,017093,13421,ETF,true,GREEN_EXPANDING,,2.80680000
2026-09-04,017189,13506,INDEX_ENHANCED,true,GREEN_EXPANDING,,1.79050000
2026-09-04,017730,14005,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.95670000
2026-09-04,019172,15299,INDEX,true,GREEN_EXPANDING,,1.73360000
2026-09-04,019736,15828,INDEX,true,GREEN_EXPANDING,,1.47410000
2026-09-04,020608,16637,ETF,false,GREEN_SHRINKING,NORMAL,1.34760000
2026-09-04,021972,17940,ETF,false,RED_EXPANDING,,1.21370000
2026-09-04,025732,21520,ETF,,GREEN_SHRINKING,,0.89670000
2026-09-04,026265,22033,ETF,,,,0.83920000
2026-09-04,027521,23185,ETF,,,,0.92360000
2026-09-04,110026,23860,ETF,false,GREEN_EXPANDING,NORMAL,3.40820000
2026-09-04,270042,25374,ETF,true,GREEN_EXPANDING,,8.33840000
2026-09-07,003765,2583,ETF,false,GREEN_EXPANDING,NORMAL,1.78490000
2026-09-07,006479,4420,ETF,true,GREEN_EXPANDING,,8.01700000
2026-09-07,007301,5128,ETF,true,GREEN_EXPANDING,NORMAL,3.71290000
2026-09-07,008087,5778,ETF,true,GREEN_EXPANDING,NORMAL,2.78100000
2026-09-07,008163,5838,ETF,true,RED_EXPANDING,,1.75820000
